DATE,COUNT
"January, 2016",67879
"February, 2016",207340
"March, 2016",42141
"May, 2016",90420
"June, 2016",249888
"July, 2016",227159
"August, 2016",277418
"September, 2016",288877
"October, 2016",320808
"November, 2016",352485
"December, 2016",332329
"January, 2017",417540
"February, 2017",485325
"March, 2017",613922
"April, 2017",661115
"May, 2017",705952
"June, 2017",774630
"July, 2017",765772
"August, 2017",915547
"September, 2017",767429
"October, 2017",1147512
"November, 2017",1042124
"December, 2017",1174010
"January, 2018",1154746
"February, 2018",795800
"March, 2018",856165
"April, 2018",888620
"May, 2018",743444
"June, 2018",583225
"July, 2018",735736
"August, 2018",3594221
"September, 2018",3475208
"October, 2018",3356138
"November, 2018",4125413
"December, 2018",3473729
"January, 2019",3938743
"February, 2019",4333697
"March, 2019",7703170
"April, 2019",6704397
"May, 2019",7625851
"June, 2019",7647998
"July, 2019",8899291
"August, 2019",7038849
"September, 2019",6757977
"October, 2019",7586836
"November, 2019",7671029
"December, 2019",7463747
"January, 2020",8389314
"February, 2020",9325354
"March, 2020",9838934
"April, 2020",11295127
"May, 2020",11469747
"June, 2020",10897157
"July, 2020",10703915
"August, 2020",11127731
"September, 2020",13731016
"October, 2020",14695388
"November, 2020",14152907
"December, 2020",13982381
"January, 2021",15427880
"February, 2021",16056558
"March, 2021",18130216
"April, 2021",19567185
"May, 2021",20994773
"June, 2021",24654256
"July, 2021",27768443
"August, 2021",30959146
"September, 2021",28402870
"October, 2021",33554105
"November, 2021",27161139
"December, 2021",25436779
"January, 2022",27282326
"February, 2022",22598820
"March, 2022",26232721
"April, 2022",26393672
"May, 2022",29877705
"June, 2022",29003316
"July, 2022",26527632
"August, 2022",29214417
"September, 2022",29209883
"October, 2022",30669940
"November, 2022",32300156
"December, 2022",30523501
"January, 2023",32634643
"February, 2023",30075178
"March, 2023",36713319
"April, 2023",32391802
"May, 2023",33867931
"June, 2023",31583284
"July, 2023",34649935
"August, 2023",39991677
"September, 2023",39303082
"October, 2023",44769046
"November, 2023",45508686
"December, 2023",46901433
"January, 2024",54650797
"February, 2024",56423191
"March, 2024",63451757
"April, 2024",65643822
"May, 2024",69156571
"June, 2024",64340348
"July, 2024",70416692
"August, 2024",75310828
"September, 2024",78191741
"October, 2024",82214268
"November, 2024",69898892
"December, 2024",68539487
"January, 2025",70333811
"February, 2025",75028795
"March, 2025",87149557
"April, 2025",87543803
"May, 2025",92901724
"June, 2025",93506111
"July, 2025",100710177
"August, 2025",108787843
"September, 2025",119908822
"October, 2025",128440095
"November, 2025",121861492
"December, 2025",120986644
"January, 2026",126859572
"February, 2026",145587567
"March, 2026",199162430
"April, 2026",214401997
"May, 2026",209498250
"June, 2026",218327492
